states,cov,features,splits,ll_train_per_obs_mean,ll_train_per_obs_median,AIC_mean,BIC_mean,ll_val_per_obs_mean,ll_val_per_obs_median,ll_test_per_obs_mean,ll_test_per_obs_median,config_id
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.894415418858977,-7.894415418858977,3158106.167543591,3159841.199893331,-7.487892261545351,-7.487892261545351,-8.359335916106254,-8.359335916106254,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-ma20_rel-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.981558904616841,-7.981558904616841,3192963.5618467364,3194698.5941964765,-7.493965495007106,-7.493965495007106,-8.21434604645324,-8.21434604645324,st3_full_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'dow_cos', 'adx', 'mfi_14']",1,-7.893743339461107,-7.893743339461107,3157837.3357844427,3159572.368134183,-7.510142535687268,-7.510142535687268,-8.360904705963684,-8.360904705963684,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.9047402453245725,-7.9047402453245725,3162236.098129829,3163971.130479569,-7.527609154874104,-7.527609154874104,-8.466235400986898,-8.466235400986898,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-ma20_rel-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.963309088748985,-7.963309088748985,3185663.635499594,3187398.667849334,-7.540482844142056,-7.540482844142056,-8.404489696607728,-8.404489696607728,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",1,-8.010781147403467,-8.010781147403467,3204652.4589613867,3206387.491311127,-7.568454204253191,-7.568454204253191,-8.25015377181612,-8.25015377181612,st3_full_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
3,full,"['ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.743579224511498,-7.743579224511498,3097771.689804599,3099506.7221543393,-7.597097859716558,-7.597097859716558,-8.136514666274833,-8.136514666274833,st3_full_ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'log_volume', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.885828573492478,-7.885828573492478,3154671.429396991,3156406.4617467313,-7.603993332185195,-7.603993332185195,-8.409576715378744,-8.409576715378744,st3_full_rolling_std_1d-ret_log-log_volume-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.018048763091448,-8.018048763091448,3207559.505236579,3209294.5375863193,-7.606165842632659,-7.606165842632659,-8.406438825054629,-8.406438825054629,st3_full_rolling_std_1d-ret_log-rolling_std_1h-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",1,-7.9755036297500155,-7.9755036297500155,3190541.4519000063,3192276.4842497464,-7.611791047322361,-7.611791047322361,-8.47231456583315,-8.47231456583315,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
