split,states,cov,n_iter,seed,features,n_params,ll_train,ll_train_per_obs,AIC,BIC,ll_val,ll_val_per_obs,ll_test,ll_test_per_obs,config_id
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",133,-2502682.5265084347,-12.513412632542174,5005631.053016869,5006988.460678725,-607070.1828126141,-12.141403656252283,-662559.1274921229,-13.251182549842458,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",203,-1813082.0747905392,-9.065410373952696,3626570.1495810784,3628641.982328121,-441747.1989124336,-8.834943978248672,-484612.4134244996,-9.692248268489992,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",203,-1808706.8157755428,-9.043534078877714,3617819.6315510855,3619891.464298128,-440721.17217479285,-8.814423443495857,-483580.1630528233,-9.671603261056466,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",68,-2444776.932680192,-12.223884663400959,4889689.865360384,4890383.87830028,-595718.5147501198,-11.914370295002396,-637639.7188595328,-12.752794377190657,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",203,-2437658.3655698034,-12.188291827849017,4875722.731139607,4877794.563886649,-585688.5934295643,-11.713771868591285,-626829.6281248975,-12.53659256249795,st3_full_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",68,-2492973.824113415,-12.464869120567075,4986083.64822683,4986777.661166727,-614443.7796124556,-12.288875592249113,-653624.2775591786,-13.072485551183574,st3_diag_rolling_std_1d-ret_log-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",68,-2437598.1807080857,-12.187990903540427,4875332.361416171,4876026.374356068,-589150.5859779062,-11.783011719558125,-633372.4650494253,-12.667449300988505,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",133,-2491330.6197053464,-12.456653098526733,4982927.239410693,4984284.647072548,-604550.2732311657,-12.091005464623315,-658462.7633268308,-13.169255266536616,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2560547.364257651,-12.802736821288255,5121180.728515302,5121619.589639059,-624044.7870350502,-12.480895740701005,-666390.9611486779,-13.327819222973558,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2551726.9157727067,-12.758634578863534,5103539.8315454135,5103978.692669171,-620965.1030812574,-12.41930206162515,-664321.3821122132,-13.286427642244263,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
